"Country","WebMeasureIndex","InfrastructureIndex","E-GovernmentReadinessIndex","Internet/100users","PC/100users","CellularSubscribers/100users","MainTelephoneLines/100users","Broadband/100users","AdultLiteracy","GrossEnrolment","EducationIndex"
"Madagascar",0.24,0.01,0.31,0.58,0.55,5.47,0.68,0,70.7,59.69,0.67
"Malawi",0.22,0.01,0.29,0.45,0.19,3.33,0.8,0,64.1,63.11,0.64
"Malaysia",0.68,0.3,0.61,43.77,21.54,75.45,16.83,3.48,88.7,74.33,0.84
"Maldives",0.29,0.2,0.45,6.64,14.86,87.88,10.88,1.57,96.3,65.84,0.86
"Mali",0.18,0.02,0.16,0.5,0.4,10.87,0.59,0.02,24,36.68,0.28
"Malta",0.73,0.39,0.66,31.73,16.61,85.96,50.16,10.44,87.9,80.94,0.86
"MarshallIslands",0.07,0.05,NA,3.51,8.77,1.13,8.27,0,NA,71.13,NA
"Mauritania",0.06,0.06,0.2,3.17,2.56,33.57,1.1,0.02,51.2,45.61,0.49
"Mauritius",0.47,0.24,0.51,24.1,16.87,61.5,28.45,1.74,84.3,75.34,0.81
"Mexico",0.71,0.2,0.59,16.9,13.08,52.63,18.33,3.44,91.6,75.61,0.86
"Micronesia(FederatedStatesof)",0.08,0.08,NA,14.39,5.41,12.7,11.22,0.04,NA,NA,NA
"Monaco",0.38,0.61,NA,56.34,22.69,48.76,96.41,26.59,99,NA,NA
"Mongolia",0.42,0.09,0.47,10.14,12.84,21.05,5.9,0.07,97.8,77.36,0.91
"Montenegro",0.37,0.02,0.43,2.53,NA,7.83,3.37,0.25,96.4,74.52,0.89
"Morocco",0.21,0.13,0.29,19.85,2.46,52.07,4.12,1.27,52.3,58.49,0.54
"Mozambique",0.31,0.02,0.26,0.9,1.43,11.6,0.33,0,38.7,52.95,0.43
"Myanmar",0.11,0,0.29,0.18,0.74,0.42,0.93,0,89.9,49.54,0.76
"Namibia",0.17,0.08,0.34,3.97,12.26,24.37,6.84,0,85,64.74,0.78
"Nauru",0.01,0.06,NA,2.59,NA,12.97,16,NA,NA,50.63,NA
"Nepal",0.29,0.01,0.27,0.9,0.49,3.76,2.15,0,48.6,58.09,0.52
"Netherlands",0.79,0.81,0.86,88.87,85.55,97.15,46.63,31.72,99,98.43,0.99
"NewZealand",0.64,0.59,0.74,78.77,51.55,87.61,42.91,14.18,99,100,0.99
"Nicaragua",0.29,0.07,0.37,2.77,3.77,32.68,4.43,0.34,76.7,70.64,0.75
"Niger",0.07,0,0.11,0.28,0.07,2.32,0.17,0,28.7,22.7,0.27
"Nigeria",0.22,0.05,0.31,5.95,0.91,24.05,1.26,0,69.1,56.17,0.65
"Norway",0.95,0.74,0.89,87.76,59.41,108.57,44.27,27.54,99,99.23,0.99
"Oman",0.48,0.16,0.47,12.22,5.06,69.59,10.65,0.58,81.4,67.05,0.77
"Pakistan",0.42,0.05,0.32,7.64,0.52,21.98,3.34,0.04,49.9,40.01,0.47
"Palau",0.18,NA,NA,NA,NA,NA,NA,NA,NA,96.92,NA
"Panama",0.41,0.12,0.47,6.69,4.56,52.46,13.17,0.54,91.9,79.54,0.88
"PapuaNewGuinea",0.09,0.02,0.21,1.83,6.64,1.27,1.08,0,57.3,40.72,0.52
"Paraguay",0.44,0.11,0.47,4.13,7.47,51.31,5.25,0.25,93.5,69.05,0.85
"Peru",0.57,0.14,0.53,21.49,10.01,29.95,8.22,1.71,87.9,85.76,0.87
"Philippines",0.51,0.1,0.5,5.48,5.37,50.75,4.3,0.15,92.6,81.13,0.89
"Poland",0.54,0.35,0.61,28.57,23.99,95.45,29.81,6.86,99.8,87.19,0.96
"Portugal",0.6,0.42,0.65,30.47,13.4,115.95,40.12,13.85,93.8,89.82,0.92
"Qatar",0.39,0.35,0.53,34.55,18.64,109.6,27.21,5.57,89,77.69,0.85
"RepublicofKorea",0.82,0.69,0.83,71.11,53.18,83.77,55.99,29.27,99,97.24,0.98
"RepublicofMoldova",0.31,0.15,0.45,17.35,8.28,32.38,24.27,0.52,99.1,69.74,0.89
"Romania",0.41,0.3,0.54,32.36,12.96,80.45,19.44,8.18,97.3,76.83,0.9
"RussianFederation",0.33,0.25,0.51,18.02,12.13,83.62,27.94,2.03,99.4,88.87,0.96
"Rwanda",0.27,0.01,0.29,0.7,0.21,3.4,0.18,0.02,64.9,50.87,0.6
"SaintKittsandNevis",0.28,0.27,0.48,24.28,26.07,23.7,59.26,1.21,97.8,73.09,0.9
"SaintLucia",0.28,0.27,0.47,34.49,16.3,65.72,32.58,0,94.8,74.76,0.88
"SaintVincentandtheGrenadines",0.26,0.22,0.43,8.4,13.87,73.64,19.03,4.72,88.1,68.92,0.82
"Samoa",0.18,0.05,0.38,4.46,1.96,13.41,10.89,0.04,98.6,73.73,0.9
"SanMarino",0.2,0.6,NA,56.3,90.33,63.52,77.22,4.52,99,NA,NA
"SaoTomeandPrincipe",0.11,0.07,0.32,18.11,3.83,11.51,4.74,0,84.9,65.17,0.78
"SaudiArabia",0.46,0.21,0.49,18.66,12.82,78.05,15.68,0.87,82.9,75.97,0.81
"Senegal",0.31,0.06,0.25,5.45,2.14,24.99,2.37,0.24,39.3,39.64,0.39
"Serbia",0.35,0.21,0.48,13.34,16.19,63.29,25.91,1.16,96.4,74.52,0.89
"Seychelles",0.3,0.3,0.49,35.67,19.84,86.52,25.44,1.63,91.8,82.24,0.89
"SierraLeone",0.06,0,0.15,0.19,NA,2.21,0.49,0,34.8,44.64,0.38
"Singapore",0.61,0.59,0.7,39.21,68.02,109.34,42.32,18.19,92.5,87.3,0.91
"Slovakia",0.47,0.37,0.59,41.76,35.72,90.6,21.62,5.87,99,78.33,0.92
"Slovenia",0.5,0.53,0.67,63.62,41.08,92.56,42.6,13.41,99.7,94.25,0.98
"SolomonIslands",0.14,0.02,0.27,1.63,4.6,1.26,1.55,0.09,76.6,47.64,0.67
"Somalia",0,0.01,NA,1.11,0.91,6.08,1.22,0,NA,NA,NA
"SouthAfrica",0.55,0.18,0.51,10.75,8.36,83.33,9.97,0.35,82.4,77.03,0.81
"Spain",0.7,0.48,0.72,42.83,28.11,106.39,42.38,15.34,99,98.05,0.99
"SriLanka",0.39,0.07,0.42,2.05,3.54,25.88,9.01,0.14,90.7,62.75,0.81
"Sudan",0.06,0.07,0.22,9.46,11.45,12.66,1.72,0.01,60.9,37.35,0.53
"Suriname",0.04,0.16,0.35,7.12,4.45,70.8,18.03,0.59,89.6,77.07,0.85
"Swaziland",0.25,0.06,0.35,4.02,4.07,24.29,4.27,0,79.6,59.81,0.73
"Sweden",0.98,0.78,0.92,76.97,83.49,105.92,59.52,25.87,99,95.27,0.98
"Switzerland",0.56,0.79,0.76,60.02,86.18,102.12,69.38,29.46,99,85.65,0.95
"SyrianArabRepublic",0.24,0.09,0.36,7.69,4.2,23.96,16.62,0.03,80.8,64.77,0.75
"T.F.Y.R.Macedonia",0.36,0.23,0.49,13.15,22.17,69.56,24.1,1.79,96.1,70.14,0.87
"Tajikistan",0.04,0.02,0.32,0.3,1.3,4.07,4.31,0,99.5,70.8,0.9
"Thailand",0.51,0.15,0.5,13.07,6.86,63.02,10.92,0.16,92.6,70.76,0.85
"Timor-Leste",0.16,0.01,0.25,0.12,NA,4.88,0.25,NA,50.1,72.03,0.57
"Togo",0.09,0.04,0.22,5.07,3.63,11.23,1.3,0,53.2,55.03,0.54
"Tonga",0.17,0.09,0.4,3.02,5.99,29.84,13.73,0.64,98.9,80.08,0.93
"TrinidadandTobago",0.44,0.28,0.53,12.48,9.88,126.42,24.87,1.57,98.4,64.86,0.87
"Tunisia",0.13,0.16,0.35,12.68,6.22,71.88,12.42,0.17,74.3,76.34,0.75
"Turkey",0.42,0.22,0.48,16.56,5.56,71,25.39,3.74,87.4,68.74,0.81
"Turkmenistan",0.05,0.04,0.33,1.32,7.2,2.17,8.24,0,98.8,73,0.9
"Tuvalu",0.04,0.09,NA,16.19,8,12.38,8.48,0.29,NA,69.23,NA
"Uganda",0.27,0.02,0.31,2.51,1.67,6.73,0.36,0,66.8,62.97,0.66
"Ukraine",0.54,0.23,0.57,12.06,4.61,106.72,26.84,NA,99.4,86.45,0.95
"UnitedArabEmirates",0.72,0.38,0.63,36.69,23.35,118.51,28.12,5.17,88.7,59.9,0.79
"UnitedKingdom",0.69,0.7,0.79,56.03,76.52,116.39,56.15,21.71,99,92.98,0.97
